id,사전체력,사후체력
1,50.0,36.67
2,50.0,61.67
3,67.5,85.0
4,95.0,75.0
5,67.5,75.0
6,30.0,66.67
7,67.5,68.33
8,62.5,75.0
9,95.0,96.67
10,15.0,41.67
11,37.5,38.33
12,47.5,85.0
13,45.0,51.67
14,37.5,56.67
15,45.0,56.67
16,75.0,65.0
17,65.0,50.0
18,62.5,58.33
19,10.0,51.67
20,82.5,68.33
21,57.5,70.0
22,75.0,50.0
23,85.0,66.67
24,90.0,60.0
25,30.0,50.0
26,62.5,65.0
27,47.5,40.0
28,85.0,66.67
29,75.0,56.67
30,82.5,85.0
31,30.0,40.0
32,80.0,78.33
33,87.5,75.0
34,62.5,63.33
35,65.0,60.0
36,82.5,66.67
37,10.0,50.0
38,37.5,43.33
39,35.0,41.67
40,42.5,56.67
41,45.0,61.67
42,30.0,45.0
43,67.5,58.33
44,32.5,46.67
45,22.5,46.67
46,85.0,95.0
47,75.0,65.0
48,70.0,90.0
49,65.0,40.0
50,57.5,80.0
51,70.0,63.33
52,32.5,48.33
53,60.0,61.67
54,95.0,91.67
55,95.0,95.0
56,85.0,61.67
57,70.0,93.33
58,50.0,76.67
59,82.5,95.0
60,72.5,46.67
61,57.5,46.67
62,60.0,88.33
63,57.5,91.67
64,67.5,61.67
65,55.0,50.0
66,62.5,86.67
67,42.5,31.67
68,85.0,85.0
69,85.0,78.33
70,60.0,66.67
71,60.0,55.0
72,85.0,83.33
73,65.0,58.33
74,72.5,70.0
75,32.5,58.33
76,72.5,76.67
77,25.0,51.67
78,82.5,80.0
79,22.5,46.67
80,55.0,51.67
81,87.5,65.0
82,60.0,61.67
83,72.5,68.33
84,90.0,80.0
85,82.5,78.33
86,80.0,70.0
87,85.0,56.67
88,85.0,83.33
89,32.5,58.33
90,72.5,76.67
91,25.0,51.67
92,55.0,51.67
93,87.5,65.0
94,90.0,90.0
95,62.5,85.0
96,60.0,60.0
97,70.0,95.0
98,47.5,61.67
99,60.0,61.67
100,87.5,80.0
101,90.0,85.0
102,72.5,83.33
103,77.5,80.0
104,82.5,93.33
105,92.5,75.0
106,85.0,73.33
107,35.0,50.0
108,80.0,56.67
109,60.0,51.67
110,90.0,88.33
111,80.0,43.33
112,92.5,63.33
113,95.0,61.67
114,97.5,86.67
115,65.0,46.67
116,82.5,90.0
117,37.5,65.0
118,30.0,46.67
119,87.5,88.33
120,57.5,80.0
121,55.0,65.0
122,90.0,91.67
123,75.0,95.0
124,65.0,68.33
125,77.5,90.0
126,95.0,95.0
127,35.0,68.33
128,80.0,95.0
129,20.0,73.33
130,62.5,71.67
131,67.5,86.67
132,67.5,91.67
133,80.0,76.67
134,37.5,68.33
135,90.0,85.0
136,82.5,71.67
137,85.0,61.67
138,45.0,65.0
139,72.5,78.33
140,57.5,68.33
141,75.0,80.0
142,17.5,50.0
143,80.0,90.0
144,37.5,66.67
145,42.5,68.33
146,90.0,83.33
147,72.5,75.0
148,57.5,66.67
149,80.0,88.33
150,37.5,65.0
